source,target,amount,is_fraud
U00575,B00000,780.0,0
U00222,B00001,1649.86,0
U00177,B00002,2303.54,0
U00123,B00003,30463.62,1
U00127,B00004,21698.7,1
U00050,B00005,660.55,0
U00726,B00006,1347.72,0
U00513,B00007,1666.98,0
U00270,B00008,10568.56,1
U00303,B00009,2098.18,0
U00535,B00010,13102.58,1
U00778,B00011,1434.62,0
U00627,B00012,193.41,0
U00868,B00013,439.95,0
U00258,B00014,2123.05,0
U00770,B00015,24329.77,1
U00160,B00016,159.17,0
U00745,B00017,4576.65,0
U00157,B00018,1820.17,0
U00266,B00019,23604.2,1
U00845,B00020,321.63,0
U00618,B00021,30284.66,1
U00646,B00022,22063.58,1
U00735,B00023,24207.88,1
U00493,B00024,2531.4,0
U00954,B00025,358.34,0
U00799,B00026,8782.75,1
U00656,B00027,569.12,0
U00333,B00028,18028.37,1
U00254,B00029,5616.23,0
U00605,B00030,554.77,0
U00034,B00031,74.2,0
U00731,B00032,979.56,0
U00037,B00033,62454.2,1
U00606,B00034,622.11,0
U00919,B00035,2514.42,0
U00459,B00036,731.07,0
U00033,B00037,5141.66,0
U00760,B00038,681.62,0
U00655,B00039,454.13,0
U00279,B00040,3001.9,0
U00861,B00041,477.26,0
U00156,B00042,17190.56,1
U00204,B00043,1509.18,0
U00830,B00044,2117.18,0
U00406,B00045,5316.82,1
U00743,B00046,1477.68,0
U00876,B00047,4149.31,0
U00827,B00048,1795.51,0
U00081,B00049,106.93,0
U00876,B00050,3896.47,0
U00661,B00051,654.06,0
U00811,B00052,1142.8,0
U00109,B00053,5746.23,0
U00558,B00054,16320.67,1
U00568,B00055,32512.01,1
U00752,B00056,11900.48,1
U00275,B00057,1178.63,0
U00670,B00058,573.82,0
U00495,B00059,272.66,0
U00089,B00060,1348.63,0
U00707,B00061,4201.5,0
U00178,B00062,11301.38,1
U00456,B00063,770.85,0
U00954,B00064,8526.68,1
U00323,B00065,20181.52,1
U00278,B00066,32985.58,1
U00186,B00067,92764.6,1
U00198,B00068,83.6,0
U00785,B00069,35033.28,1
U00835,B00070,35625.91,1
U00349,B00071,235.31,0
U00801,B00072,350.91,0
U00441,B00073,85.89,0
U00999,B00074,5001.22,0
U00526,B00075,63649.2,1
U00163,B00076,3879.81,0
U00914,B00077,2330.89,0
U00418,B00078,1772.4,0
U00101,B00079,1760.43,1
U00390,B00080,35398.53,1
U00741,B00081,1262.85,0
U00835,B00082,55563.07,1
U00365,B00083,4605.4,0
U00945,B00084,4089.16,0
U00332,B00085,36328.49,1
U00772,B00086,37393.09,1
U00174,B00087,2271.05,0
U00249,B00088,16158.05,1
U00793,B00089,153.75,0
U00151,B00090,3543.63,0
U00259,B00091,904.46,0
U00892,B00092,358.86,0
U00190,B00093,903.89,0
U00578,B00094,3659.62,0
U00654,B00095,971.3,0
U00708,B00096,13332.32,1
U00010,B00097,2815.89,0
U00302,B00098,28987.67,1
U00430,B00099,12380.53,1
U00228,B00100,1266.48,0
U00985,B00101,1924.17,0
U00239,B00102,3473.77,0
U00889,B00103,485.02,0
U00574,B00104,77816.42,1
U00398,B00105,747.63,0
U00432,B00106,2593.55,0
U00854,B00107,2332.52,0
U00831,B00108,6338.97,0
U00476,B00109,898.83,0
U00965,B00110,150.35,0
U00143,B00111,4762.66,0
U00087,B00112,2944.69,0
U00110,B00113,191.72,0
U00502,B00114,3799.84,1
U00722,B00115,832.33,0
U00053,B00116,1510.67,0
U00495,B00117,1013.4,0
U00833,B00118,114.24,0
U00908,B00119,2524.21,0
U00907,B00120,240.64,0
U00430,B00121,1271.72,0
U00054,B00122,7950.53,0
U00734,B00123,451.53,0
U00878,B00124,72.34,0
U00089,B00125,2305.71,0
U00535,B00126,159.11,0
U00487,B00127,1597.68,0
U00194,B00128,1818.23,0
U00811,B00129,4961.75,0
U00112,B00130,3005.38,0
U00849,B00131,893.91,0
U00415,B00132,11556.82,1
U00148,B00133,13398.37,1
U00680,B00134,764.46,0
U00669,B00135,2014.4,0
U00011,B00136,1395.97,0
U00849,B00137,379.83,0
U00948,B00138,14149.49,1
U00171,B00139,32046.16,1
U00970,B00140,10268.97,1
U00085,B00141,11.18,0
U00464,B00142,484.53,0
U00789,B00143,821.12,0
U00050,B00144,1739.93,0
U00228,B00145,749.33,0
U00683,B00146,85.15,0
U00591,B00147,5107.64,0
U00571,B00148,19578.04,1
U00320,B00149,2550.85,0
U00542,B00150,6619.78,0
U00551,B00151,2042.81,0
U00676,B00152,2054.56,0
U00094,B00153,152.29,0
U00230,B00154,4615.8,0
U00770,B00155,1466.27,0
U00554,B00156,586.69,0
U00824,B00157,9140.03,0
U00187,B00158,1987.81,0
U00575,B00159,1732.44,0
U00142,B00160,472.63,0
U00946,B00161,2073.71,0
U00264,B00162,35943.78,1
U00777,B00163,990.97,0
U00999,B00164,4834.0,0
U00688,B00165,1619.22,0
U00140,B00166,7648.32,0
U00638,B00167,3856.61,0
U00158,B00168,1629.89,0
U00938,B00169,10482.12,1
U00114,B00170,3467.63,0
U00961,B00171,1872.6,0
U00614,B00172,184.36,0
U00902,B00173,36235.95,1
U00557,B00174,22288.73,1
U00861,B00175,119.59,0
U00320,B00176,47965.53,1
U00844,B00177,2685.49,0
U00698,B00178,2810.02,0
U00135,B00179,962.33,0
U00899,B00180,846.6,0
U00722,B00181,1150.69,0
U00541,B00182,1158.89,1
U00753,B00183,31599.06,1
U00453,B00184,12321.73,1
U00365,B00185,9473.23,1
U00094,B00186,2728.48,0
U00718,B00187,2423.45,1
U00114,B00188,37632.41,1
U00610,B00189,13304.76,1
U00949,B00190,8193.7,1
U00224,B00191,175.74,0
U00963,B00192,3937.53,0
U00827,B00193,11754.33,1
U00429,B00194,1809.65,0
U00920,B00195,4626.55,0
U00121,B00196,1782.55,0
U00323,B00197,910.5,0
U00492,B00198,42542.98,1
U00846,B00199,679.14,0
U00681,B00200,5300.18,1
U00026,B00201,4875.66,0
U00668,B00202,2018.27,1
U00230,B00203,1192.94,0
U00439,B00204,712.84,0
U00864,B00205,3096.5,0
U00069,B00206,15495.18,1
U00296,B00207,87812.67,1
U00218,B00208,965.89,0
U00515,B00209,2531.5,0
U00144,B00210,39344.16,1
U00741,B00211,3583.79,0
U00350,B00212,4130.06,0
U00353,B00213,1022.34,0
U00249,B00214,1547.9,1
U00543,B00215,1490.08,1
U00857,B00216,78694.42,1
U00164,B00217,7205.53,1
U00264,B00218,24477.18,1
U00868,B00219,1705.02,0
U00548,B00220,1930.4,0
U00950,B00221,1547.76,1
U00189,B00222,948.6,0
U00994,B00223,1632.65,0
U00697,B00224,563.91,0
U00433,B00225,3777.96,1
U00446,B00226,1449.54,0
U00365,B00227,26671.51,1
U00879,B00228,6537.25,1
U00160,B00229,5385.05,0
U00150,B00230,2501.36,0
U00803,B00231,2.09,0
U00965,B00232,616.05,0
U00994,B00233,8390.18,1
U00300,B00234,167.93,0
U00983,B00235,73104.27,1
U00921,B00236,2831.97,0
U00825,B00237,15131.14,1
U00879,B00238,566.2,0
