node_id,node_type
B08058,beneficiary
B02122,beneficiary
U00920,user
B00034,beneficiary
B04875,beneficiary
B07103,beneficiary
B08866,beneficiary
B03476,beneficiary
B17164,beneficiary
B04047,beneficiary
B01191,beneficiary
U00522,user
B00708,beneficiary
B15256,beneficiary
B05816,beneficiary
B17547,beneficiary
B00600,beneficiary
B02781,beneficiary
B12767,beneficiary
B14001,beneficiary
U00576,user
B06659,beneficiary
B13553,beneficiary
B00539,beneficiary
B13367,beneficiary
B03122,beneficiary
B13289,beneficiary
B12916,beneficiary
B17696,beneficiary
B11950,beneficiary
B02688,beneficiary
B02041,beneficiary
B14807,beneficiary
B01590,beneficiary
B11030,beneficiary
B10314,beneficiary
B01938,beneficiary
B06829,beneficiary
B03474,beneficiary
B08213,beneficiary
B10227,beneficiary
B08710,beneficiary
B11749,beneficiary
B13787,beneficiary
U00733,user
B17908,beneficiary
B16943,beneficiary
B10643,beneficiary
B10593,beneficiary
B13773,beneficiary
B15613,beneficiary
B04727,beneficiary
B18343,beneficiary
U00367,user
B14818,beneficiary
U00594,user
B17858,beneficiary
B12829,beneficiary
B03499,beneficiary
B07546,beneficiary
B19286,beneficiary
B19525,beneficiary
B12253,beneficiary
B10989,beneficiary
B17675,beneficiary
B09448,beneficiary
B06884,beneficiary
B02623,beneficiary
B07548,beneficiary
B16293,beneficiary
B03262,beneficiary
B19135,beneficiary
B04614,beneficiary
B17792,beneficiary
B13230,beneficiary
B14124,beneficiary
B07206,beneficiary
B13590,beneficiary
B12674,beneficiary
B17922,beneficiary
B04347,beneficiary
B03392,beneficiary
B01205,beneficiary
B01323,beneficiary
B12818,beneficiary
B02442,beneficiary
B13844,beneficiary
B01431,beneficiary
B11154,beneficiary
B19224,beneficiary
B13780,beneficiary
B16522,beneficiary
B13442,beneficiary
B02135,beneficiary
B04230,beneficiary
B01612,beneficiary
B04718,beneficiary
B04571,beneficiary
B13879,beneficiary
B10297,beneficiary
B02357,beneficiary
B01082,beneficiary
B11014,beneficiary
B12717,beneficiary
U00570,user
B04645,beneficiary
B13035,beneficiary
B07484,beneficiary
B15322,beneficiary
B17477,beneficiary
B05965,beneficiary
B00858,beneficiary
B12173,beneficiary
B11888,beneficiary
B05900,beneficiary
B10055,beneficiary
B07374,beneficiary
B19376,beneficiary
B16868,beneficiary
B15344,beneficiary
B10686,beneficiary
B02740,beneficiary
B10279,beneficiary
B04403,beneficiary
B02861,beneficiary
B02465,beneficiary
B12467,beneficiary
B09470,beneficiary
B07938,beneficiary
B18352,beneficiary
B01690,beneficiary
B15766,beneficiary
B03086,beneficiary
B02667,beneficiary
B18664,beneficiary
B04782,beneficiary
U00875,user
B06170,beneficiary
B16619,beneficiary
B16441,beneficiary
B19980,beneficiary
B10761,beneficiary
B02032,beneficiary
B09971,beneficiary
B16056,beneficiary
B10589,beneficiary
B03324,beneficiary
B11858,beneficiary
B19544,beneficiary
B11477,beneficiary
B06586,beneficiary
B15132,beneficiary
B05468,beneficiary
B04239,beneficiary
B15440,beneficiary
B03625,beneficiary
B07470,beneficiary
B10046,beneficiary
B04090,beneficiary
B09216,beneficiary
B09855,beneficiary
B18548,beneficiary
B03377,beneficiary
B15534,beneficiary
B16075,beneficiary
B03326,beneficiary
B15815,beneficiary
B17447,beneficiary
B03848,beneficiary
B09188,beneficiary
B07040,beneficiary
B16234,beneficiary
B07628,beneficiary
B16386,beneficiary
B04814,beneficiary
B01725,beneficiary
B07686,beneficiary
B00414,beneficiary
B07788,beneficiary
B02019,beneficiary
B11739,beneficiary
B02233,beneficiary
B19335,beneficiary
B15765,beneficiary
B05207,beneficiary
B04970,beneficiary
B05159,beneficiary
B17034,beneficiary
B15841,beneficiary
B17014,beneficiary
B04383,beneficiary
B07953,beneficiary
B07958,beneficiary
B08489,beneficiary
B10782,beneficiary
B02439,beneficiary
B06670,beneficiary
B01229,beneficiary
B11329,beneficiary
B04016,beneficiary
B01278,beneficiary
B06996,beneficiary
B17740,beneficiary
B18709,beneficiary
B15469,beneficiary
B11775,beneficiary
B06145,beneficiary
B13994,beneficiary
B10933,beneficiary
B12905,beneficiary
B03246,beneficiary
B18547,beneficiary
B13410,beneficiary
B04719,beneficiary
B01316,beneficiary
B08139,beneficiary
B02156,beneficiary
B15717,beneficiary
B06918,beneficiary
B05701,beneficiary
B00482,beneficiary
B11099,beneficiary
B15802,beneficiary
B07735,beneficiary
B12216,beneficiary
U00886,user
B13701,beneficiary
B00248,beneficiary
B15356,beneficiary
B00057,beneficiary
B14090,beneficiary
U00794,user
B04115,beneficiary
B08973,beneficiary
B03628,beneficiary
B19195,beneficiary
B05024,beneficiary
B08360,beneficiary
B01967,beneficiary
B09618,beneficiary
B08711,beneficiary
B00412,beneficiary
B06777,beneficiary
B12400,beneficiary
B05034,beneficiary
B02223,beneficiary
B06058,beneficiary
B01577,beneficiary
B01696,beneficiary
B12520,beneficiary
B11679,beneficiary
B16916,beneficiary
B13837,beneficiary
B01849,beneficiary
B16217,beneficiary
B09016,beneficiary
B05955,beneficiary
B09208,beneficiary
B06869,beneficiary
B11821,beneficiary
B11664,beneficiary
B05821,beneficiary
B12996,beneficiary
B06184,beneficiary
B15863,beneficiary
U00021,user
B00416,beneficiary
B15806,beneficiary
B13612,beneficiary
B03173,beneficiary
U00364,user
B01654,beneficiary
B15126,beneficiary
B19770,beneficiary
B13064,beneficiary
