Transaction_ID,User_ID,Amount,Time,Location,Device_Type,Transaction_Mode,Frequency_in_24hrs,Beneficiary_Account_Age,Beneficiary_ID,IP_Address,User_Account_Age_Days,Transaction_Success,Login_Attempts_24hrs,Device_Change_Flag,Location_Change_Flag,App_Version,OS_Version,Transaction_Velocity,Attempt_to_Beneficiary_Ratio,Is_QR_Manipulated,Linked_Bank,Link_Clicked_From,Fraud_Type,Is_Fraud,Transaction_Date
TXN000000,U00575,780.0,18:00,Nagpur,Tablet,UPI Phone No,3,4 years,B00000,192.168.238.92,535,1,2,0,0,3.6.9,Android-15,7,0.21961434682854253,0,SBI,Direct,None,0,2025-02-02 00:05:04.656906
TXN000001,U00222,1649.86,12:04,Hyderabad,Mobile,UPI QR Code,2,9 years,B00001,192.168.119.85,1320,1,1,0,0,4.5.6,MacOS-11,8,0.4940411449679655,0,Kotak,Email,None,0,2025-03-01 13:28:04.656906
TXN000002,U00177,2303.54,13:09,Thane,Desktop,UPI Phone No,3,5 years,B00002,192.168.163.91,248,1,2,0,0,5.1.5,Android-15,5,0.38092935950906315,0,Axis,Social Media,None,0,2025-02-11 20:19:04.656906
TXN000003,U00123,30463.62,17:50,Kolkata,Mobile,UPI ID,2,9 days,B00003,192.168.230.136,0,1,0,0,0,2.2.1,Android-15,0,0.0,0,Axis,Social Media,Deepfake_Impersonation,1,2025-02-28 17:23:04.656906
TXN000004,U00127,21698.7,22:56,Delhi,Desktop,UPI ID,2,8 days,B00004,192.168.195.125,0,1,0,0,0,4.7.1,Windows-8,0,0.0,0,Kotak,Email,Deepfake_Impersonation,1,2025-02-05 16:42:04.656906
TXN000005,U00050,660.55,06:31,Thane,Desktop,UPI QR Code,2,9 years,B00005,192.168.236.163,465,1,2,0,0,5.8.8,Android-15,8,0.25975900768355464,0,ICICI,SMS,None,0,2025-02-27 18:13:04.656906
TXN000006,U00726,1347.72,17:55,Kolkata,Desktop,UPI Link,5,2 years,B00006,192.168.241.89,1010,1,2,0,0,2.6.3,Windows-12,1,0.2861106079463377,0,SBI,Direct,None,0,2025-02-28 22:50:04.656906
TXN000007,U00513,1666.98,01:22,Kolkata,Mobile,UPI QR Code,5,6 years,B00007,192.168.10.210,1954,1,1,0,0,4.8.0,iOS-11,6,0.45303424690492533,0,PNB,SMS,None,0,2025-02-15 17:05:04.656906
TXN000008,U00270,10568.56,05:30,Delhi,Desktop,UPI Intent,22,0,B00008,192.168.219.9,0,1,0,0,0,3.0.6,MacOS-9,17,0.0,0,PNB,Email,Remote_Access,1,2025-02-12 01:14:04.656906
TXN000009,U00303,2098.18,16:37,Nagpur,Tablet,UPI QR Code,2,3 years,B00009,192.168.49.248,306,1,2,0,0,3.6.1,Android-12,1,0.4905089284538059,0,PNB,Email,None,0,2025-02-12 18:09:04.656906
TXN000010,U00535,13102.58,21:31,Ahmedabad,Tablet,UPI Link,18,10 days,B00010,192.168.185.74,0,1,0,0,0,2.0.8,iOS-14,0,0.0,1,HDFC,SMS,Phishing,1,2025-03-01 14:47:04.656906
